M D Y: 11 03 2025
14:31:18:169263 Gateway 0, reading I: USB: Baudrate detected: 115200
14:32:27:178144 Gateway 0, reading I: PPS DETECTED
14:32:28:183161 Gateway 0, reading I: PPS DETECTED
14:32:29:189179 Gateway 0, reading I: PPS DETECTED
14:32:30:194834 Gateway 0, reading I: PPS DETECTED
14:32:31:202689 Gateway 0, reading I: PPS DETECTED
14:32:32:208137 Gateway 0, reading I: PPS DETECTED
14:32:33:215121 Gateway 0, reading I: PPS DETECTED
14:32:34:219835 Gateway 0, reading I: PPS DETECTED
14:32:35:226565 Gateway 0, reading I: PPS DETECTED
14:32:36:232646 Gateway 0, reading I: PPS DETECTED
14:32:37:239280 Gateway 0, reading I: PPS DETECTED
14:32:38:245911 Gateway 0, reading I: PPS DETECTED
14:32:39:254282 Gateway 0, reading I: PPS DETECTED
14:32:40:260407 Gateway 0, reading I: PPS DETECTED
14:32:41:267307 Gateway 0, reading I: PPS DETECTED
14:32:42:271941 Gateway 0, reading I: PPS DETECTED
14:32:43:178661 Gateway 0, reading I: PPS DETECTED
14:32:44:184943 Gateway 0, reading I: PPS DETECTED
14:32:45:191206 Gateway 0, reading I: PPS DETECTED
14:32:46:198182 Gateway 0, reading I: PPS DETECTED
14:32:47:204460 Gateway 0, reading I: PPS DETECTED
14:32:48:211334 Gateway 0, reading I: PPS DETECTED
14:32:49:216551 Gateway 0, reading I: PPS DETECTED
14:32:50:225362 Gateway 0, reading I: PPS DETECTED
14:32:51:233858 Gateway 0, reading I: PPS DETECTED
14:32:52:240509 Gateway 0, reading I: PPS DETECTED
14:32:53:245299 Gateway 0, reading I: PPS DETECTED
14:32:54:251451 Gateway 0, reading I: PPS DETECTED
14:32:55:257646 Gateway 0, reading I: PPS DETECTED
14:32:56:263923 Gateway 0, reading I: PPS DETECTED
14:32:57:271333 Gateway 0, reading I: PPS DETECTED
14:32:58:176877 Gateway 0, reading I: PPS DETECTED
14:32:59:184426 Gateway 0, reading I: PPS DETECTED
14:33:00:191910 Gateway 0, reading I: PPS DETECTED
14:33:01:198166 Gateway 0, reading I: PPS DETECTED
14:33:02:206521 Gateway 0, reading I: PPS DETECTED
14:33:03:214415 Gateway 0, reading I: PPS DETECTED
14:33:04:525969 Gateway 0, reading I: PPS DETECTED
14:33:05:530869 Gateway 0, reading I: PPS DETECTED
14:33:06:537948 Gateway 0, reading I: PPS DETECTED
14:33:07:545190 Gateway 0, reading I: PPS DETECTED
14:33:08:551085 Gateway 0, reading I: PPS DETECTED
14:33:09:556544 Gateway 0, reading I: PPS DETECTED
14:33:10:461824 Gateway 0, reading I: PPS DETECTED
14:33:11:468751 Gateway 0, reading I: PPS DETECTED
14:33:12:474530 Gateway 0, reading I: PPS DETECTED
14:33:13:482174 Gateway 0, reading I: PPS DETECTED
14:33:14:487166 Gateway 0, reading I: PPS DETECTED
14:33:15:494068 Gateway 0, reading I: PPS DETECTED
14:33:16:501042 Gateway 0, reading I: PPS DETECTED
14:33:17:507442 Gateway 0, reading I: PPS DETECTED
14:33:18:513487 Gateway 0, reading I: PPS DETECTED
14:33:19:520607 Gateway 0, reading I: PPS DETECTED
14:33:20:527569 Gateway 0, reading I: PPS DETECTED
14:33:21:532752 Gateway 0, reading I: PPS DETECTED
14:33:22:538721 Gateway 0, reading I: PPS DETECTED
14:33:23:544440 Gateway 0, reading I: PPS DETECTED
14:33:24:552597 Gateway 0, reading I: PPS DETECTED
14:33:25:559611 Gateway 0, reading I: PPS DETECTED
14:33:26:466813 Gateway 0, reading I: PPS DETECTED
14:33:27:475158 Gateway 0, reading I: PPS DETECTED
14:33:28:481066 Gateway 0, reading I: PPS DETECTED
14:33:29:488447 Gateway 0, reading I: PPS DETECTED
14:33:30:494983 Gateway 0, reading I: PPS DETECTED
14:33:31:501926 Gateway 0, reading I: PPS DETECTED
14:33:32:508390 Gateway 0, reading I: PPS DETECTED
14:33:33:515595 Gateway 0, reading I: PPS DETECTED
14:33:34:520845 Gateway 0, reading I: PPS DETECTED
14:33:35:527466 Gateway 0, reading I: PPS DETECTED
14:33:36:534215 Gateway 0, reading I: PPS DETECTED
14:33:37:540702 Gateway 0, reading I: PPS DETECTED
14:33:38:549060 Gateway 0, reading I: PPS DETECTED
14:33:39:554545 Gateway 0, reading I: PPS DETECTED
14:33:40:461609 Gateway 0, reading I: PPS DETECTED
14:33:41:469023 Gateway 0, reading I: PPS DETECTED
14:33:42:475381 Gateway 0, reading I: PPS DETECTED
14:33:43:394304 Gateway 0, sending b'HYP\xe1\x15\x12\x976\x11\x03\xaa\xff\xff'
14:33:43:479593 Gateway 0, reading I: PPS DETECTED
14:33:43:479593 Gateway 0, reading I: Send CMD Flag - PPS
14:33:43:896443 Gateway 0, sending b'HYP\xcda\xd3R\x14\x02\x03\xaa\xff\xff'
14:33:44:399063 Gateway 0, sending b'HYP\xe1\xd7)\x7f\xa1L\x03\xaa\xff\xff'
14:33:44:486467 Gateway 0, reading I: PPS DETECTED
14:33:44:486467 Gateway 0, reading I: Send CMD Flag - PPS
14:33:44:901678 Gateway 0, sending b'HYP\xdc\xe2\x06\xb60\xbc\x03\xaa\xff\xff'
14:33:45:193974 Gateway 0, reading I: CMD Write ACK: 1
14:33:45:395791 Gateway 0, reading I: CMD Write ACK: 2
14:33:45:497006 Gateway 0, reading I: PPS DETECTED
14:33:45:498005 Gateway 0, reading I: Send CMD Flag - PPS
14:33:46:504290 Gateway 0, reading I: CMD Write ACK: 1
14:33:46:504290 Gateway 0, reading I: PPS DETECTED
14:33:46:505283 Gateway 0, reading I: Send CMD Flag - PPS
14:33:47:512642 Gateway 0, reading I: PPS DETECTED
14:33:48:217153 Gateway 0, reading I: CMD Write ACK: 2
14:33:48:519676 Gateway 0, reading I: PPS DETECTED
14:33:49:524477 Gateway 0, reading I: PPS DETECTED
14:33:50:530396 Gateway 0, reading I: PPS DETECTED
14:33:51:537244 Gateway 0, reading I: PPS DETECTED
14:33:52:544365 Gateway 0, reading I: PPS DETECTED
14:33:53:549938 Gateway 0, reading I: PPS DETECTED
14:33:54:554733 Gateway 0, reading I: PPS DETECTED
14:33:55:460294 Gateway 0, reading I: PPS DETECTED
14:33:56:464791 Gateway 0, reading I: PPS DETECTED
14:33:57:471628 Gateway 0, reading I: PPS DETECTED
14:33:58:474801 Gateway 0, reading I: PPS DETECTED
14:33:59:481528 Gateway 0, reading I: PPS DETECTED
14:34:00:486457 Gateway 0, reading I: PPS DETECTED
14:34:01:493001 Gateway 0, reading I: PPS DETECTED
14:34:02:498642 Gateway 0, reading I: PPS DETECTED
14:34:03:506509 Gateway 0, reading I: PPS DETECTED
14:34:04:511042 Gateway 0, reading I: PPS DETECTED
14:34:05:514992 Gateway 0, reading I: PPS DETECTED
14:34:06:520249 Gateway 0, reading I: PPS DETECTED
14:34:07:023305 Gateway 0, sending b'NIBR\xe1\x15\x12\x976\x11'
14:34:07:123595 Gateway 0, reading I: READ FROM NIB
14:34:07:525520 Gateway 0, reading I: PPS DETECTED
x14\x02'
14:34:07:627428 Gateway 0, reading I: READ FROM NIB
14:34:08:028903 Gateway 0, sending b'NIBR\xe1\xd7)\x7f\xa1L'
14:34:08:129449 Gateway 0, reading I: READ FROM NIB
14:34:08:231046 Gateway 0, reading I: [CD:61:D3:52:14:02 (random)] Sensor NIB read:
14:34:08:232064 Gateway 0, reading c052454144592d2d4e4f44453132392121212121212121212121212121212121
14:34:08:532183 Gateway 0, sending b'NIBR\xdc\xe2\x06\xb60\xbc'
14:34:08:534164 Gateway 0, reading I: PPS DETECTED
14:34:08:635297 Gateway 0, reading I: READ FROM NIB
14:34:09:138669 Gateway 0, reading I: [E1:15:12:97:36:11 (random)] Sensor NIB read:
14:34:09:139669 Gateway 0, reading 052454144592d2d4e4f44453132382121212121212121212121212121212121
14:34:09:240399 Gateway 0, reading I: [E1:D7:29:7F:A1:4C (random)] Sensor NIB read:
14:34:09:241391 Gateway 0, reading 52454144592d2d4e4f4445313331212121212121212121212121212121212121
14:34:09:545783 Gateway 0, reading I: PPS DETECTED
14:34:10:553726 Gateway 0, reading I: PPS DETECTED
14:34:10:957266 Gateway 0, reading I: [DC:E2:06:B6:30:BC (random)] Sensor NIB read:
14:34:10:958276 Gateway 0, reading 52454144592d2d4e4f4445313334212121212121212121212121212121212121
14:34:11:463722 Gateway 0, reading I: PPS DETECTED
14:34:12:469928 Gateway 0, reading I: PPS DETECTED
14:34:13:476327 Gateway 0, reading I: PPS DETECTED
14:34:14:483331 Gateway 0, reading I: PPS DETECTED
14:34:15:490445 Gateway 0, reading I: PPS DETECTED
14:34:16:496785 Gateway 0, reading I: PPS DETECTED
14:34:17:504066 Gateway 0, reading I: PPS DETECTED
14:34:18:511654 Gateway 0, reading I: PPS DETECTED
14:34:19:516953 Gateway 0, reading I: PPS DETECTED
14:34:20:524168 Gateway 0, reading I: PPS DETECTED
14:34:21:530690 Gateway 0, reading I: PPS DETECTED
14:34:22:537460 Gateway 0, reading I: PPS DETECTED
14:34:23:541976 Gateway 0, reading I: PPS DETECTED
14:34:24:547305 Gateway 0, reading I: PPS DETECTED
14:34:25:552650 Gateway 0, reading I: PPS DETECTED
14:34:26:558540 Gateway 0, reading I: PPS DETECTED
14:34:27:464505 Gateway 0, reading I: PPS DETECTED
14:34:28:470258 Gateway 0, reading I: PPS DETECTED
14:34:29:478065 Gateway 0, reading I: PPS DETECTED
14:34:30:484114 Gateway 0, reading I: PPS DETECTED
14:34:31:490856 Gateway 0, reading I: PPS DETECTED
14:34:32:497742 Gateway 0, reading I: PPS DETECTED
14:34:33:504394 Gateway 0, reading I: PPS DETECTED
14:34:34:511052 Gateway 0, reading I: PPS DETECTED
14:34:35:518572 Gateway 0, reading I: PPS DETECTED
14:34:36:525025 Gateway 0, reading I: PPS DETECTED
14:34:37:531827 Gateway 0, reading I: PPS DETECTED
14:34:38:538168 Gateway 0, reading I: PPS DETECTED
14:34:39:544900 Gateway 0, reading I: PPS DETECTED
14:34:40:549898 Gateway 0, reading I: PPS DETECTED
14:34:41:555224 Gateway 0, reading I: PPS DETECTED
14:34:42:463229 Gateway 0, reading I: PPS DETECTED
14:34:43:468763 Gateway 0, reading I: PPS DETECTED
14:34:44:474847 Gateway 0, reading I: PPS DETECTED
14:34:45:481257 Gateway 0, reading I: PPS DETECTED
14:34:46:487548 Gateway 0, reading I: PPS DETECTED
14:34:47:493899 Gateway 0, reading I: PPS DETECTED
14:34:47:566310 Gateway 0, sending b'NIBR\xe1\x15\x12\x976\x11'
14:34:47:595121 Gateway 0, reading I: READ FROM NIB
14:34:48:069004 Gateway 0, sending b'NIBR\xcda\xd3R\x14\x02'
14:34:48:098231 Gateway 0, reading I: READ FROM NIB
14:34:48:500663 Gateway 0, reading I: PPS DETECTED
14:34:48:571786 Gateway 0, sending b'NIBR\xe1\xd7)\x7f\xa1L'
14:34:48:601897 Gateway 0, reading I: READ FROM NIB
14:34:49:005242 Gateway 0, reading I: [CD:61:D3:52:14:02 (random)] Sensor NIB read:
14:34:49:006241 Gateway 0, reading c052454144592d2d4e4f44453132392121212121212121212121212121212121
14:34:49:074710 Gateway 0, sending b'NIBR\xdc\xe2\x06\xb60\xbc'
14:34:49:107423 Gateway 0, reading I: READ FROM NIB
14:34:49:510466 Gateway 0, reading I: PPS DETECTED
14:34:50:013232 Gateway 0, reading I: [E1:15:12:97:36:11 (random)] Sensor NIB read:
14:34:50:014232 Gateway 0, reading 052454144592d2d4e4f44453132382121212121212121212121212121212121
14:34:50:115651 Gateway 0, reading I: [E1:D7:29:7F:A1:4C (random)] Sensor NIB read:
14:34:50:116655 Gateway 0, reading 52454144592d2d4e4f4445313331212121212121212121212121212121212121
14:34:50:521576 Gateway 0, reading I: PPS DETECTED
14:34:51:530504 Gateway 0, reading I: PPS DETECTED
14:34:51:733663 Gateway 0, reading I: [DC:E2:06:B6:30:BC (random)] Sensor NIB read:
14:34:51:739663 Gateway 0, reading 52454144592d2d4e4f4445313334212121212121212121212121212121212121
14:34:52:546473 Gateway 0, reading I: PPS DETECTED
14:34:53:552667 Gateway 0, reading I: PPS DETECTED
14:34:54:557653 Gateway 0, reading I: PPS DETECTED
14:34:55:462616 Gateway 0, reading I: PPS DETECTED
14:34:56:469937 Gateway 0, reading I: PPS DETECTED
14:34:57:475756 Gateway 0, reading I: PPS DETECTED
14:34:58:482674 Gateway 0, reading I: PPS DETECTED
14:34:59:488119 Gateway 0, reading I: PPS DETECTED
14:35:00:494608 Gateway 0, reading I: PPS DETECTED
14:35:01:500605 Gateway 0, reading I: PPS DETECTED
14:35:02:506814 Gateway 0, reading I: PPS DETECTED
14:35:03:512818 Gateway 0, reading I: PPS DETECTED
14:35:04:518634 Gateway 0, reading I: PPS DETECTED
14:35:05:524989 Gateway 0, reading I: PPS DETECTED
14:35:06:530053 Gateway 0, reading I: PPS DETECTED
14:35:07:075373 Gateway 0, sending b'HYP\xe1\x15\x12\x976\x11\x04\xff\xff\xff'
14:35:07:133045 Gateway 0, reading I: Read SOH CMD
14:35:07:535563 Gateway 0, reading I: PPS DETECTED
14:35:07:579644 Gateway 0, sending b'HYP\xcda\xd3R\x14\x02\x04\xff\xff\xff'
14:35:07:637046 Gateway 0, reading I: Read SOH CMD
14:35:08:083616 Gateway 0, sending b'HYP\xe1\xd7)\x7f\xa1L\x04\xff\xff\xff'
14:35:08:140499 Gateway 0, reading I: Read SOH CMD
14:35:08:543221 Gateway 0, reading I: PPS DETECTED
14:35:08:586289 Gateway 0, sending b'HYP\xdc\xe2\x06\xb60\xbc\x04\xff\xff\xff'
14:35:08:845837 Gateway 0, reading I: [CD:61:D3:52:14:02 (random)] Sensor SOH read: 1
14:35:08:846920 Gateway 0, reading I: Current: 0.10A  Volt: 3.60V  Mode: 1
14:35:08:847903 Gateway 0, reading I: GPS: 20:35:07.000  Lat:34.40391 Lon:-89.57590  Status:A
14:35:08:847903 Gateway 0, reading I: File Count: 0
14:35:08:847903 Gateway 0, reading I: Read SOH CMD
14:35:09:151201 Gateway 0, reading I: [E1:15:12:97:36:11 (random)] Sensor SOH read: 1
14:35:09:152194 Gateway 0, reading I: Current: 0.10A  Volt: 3.60V  Mode: 1
14:35:09:153195 Gateway 0, reading I: GPS: 20:35:06.000  Lat:34.40388 Lon:-89.57590  Status:A
14:35:09:153195 Gateway 0, reading I: File Count: 0
14:35:09:555922 Gateway 0, reading I: PPS DETECTED
14:35:09:858554 Gateway 0, reading I: [E1:D7:29:7F:A1:4C (random)] Sensor SOH read: 2
14:35:09:859550 Gateway 0, reading I: Current: 0.13A  Volt: 3.61V  Mode: 1
14:35:09:860549 Gateway 0, reading I: GPS: 20:35:07.000  Lat:34.40391 Lon:-89.57588  Status:A
14:35:09:860549 Gateway 0, reading I: File Count: 0
14:35:10:464375 Gateway 0, reading I: PPS DETECTED
14:35:10:967711 Gateway 0, reading I: [DC:E2:06:B6:30:BC (random)] Sensor SOH read: 3
14:35:10:968704 Gateway 0, reading I: Current: 0.13A  Volt: 3.57V  Mode: 1
14:35:10:969713 Gateway 0, reading I: GPS: 00:01:08.000  Lat:34.26583 Lon:-88.70054  Status:V
14:35:10:969713 Gateway 0, reading I: File Count: 0
14:35:11:472759 Gateway 0, reading I: PPS DETECTED
14:35:12:478892 Gateway 0, reading I: PPS DETECTED
14:35:13:485226 Gateway 0, reading I: PPS DETECTED
14:35:14:492215 Gateway 0, reading I: PPS DETECTED
14:35:15:499939 Gateway 0, reading I: PPS DETECTED
14:35:16:506615 Gateway 0, reading I: PPS DETECTED
14:35:17:513535 Gateway 0, reading I: PPS DETECTED
14:35:18:520154 Gateway 0, reading I: PPS DETECTED
14:35:19:525782 Gateway 0, reading I: PPS DETECTED
14:35:20:531995 Gateway 0, reading I: PPS DETECTED
14:35:21:538391 Gateway 0, reading I: PPS DETECTED
14:35:22:545622 Gateway 0, reading I: PPS DETECTED
14:35:23:552460 Gateway 0, reading I: PPS DETECTED
14:35:24:459604 Gateway 0, reading I: PPS DETECTED
14:35:25:464288 Gateway 0, reading I: PPS DETECTED
14:35:26:469675 Gateway 0, reading I: PPS DETECTED
14:35:27:475765 Gateway 0, reading I: PPS DETECTED
14:35:28:480847 Gateway 0, reading I: PPS DETECTED
14:35:29:486428 Gateway 0, reading I: PPS DETECTED
14:35:30:493383 Gateway 0, reading I: PPS DETECTED
14:35:31:500177 Gateway 0, reading I: PPS DETECTED
14:35:32:505887 Gateway 0, reading I: PPS DETECTED
14:35:33:512710 Gateway 0, reading I: PPS DETECTED
14:35:34:519741 Gateway 0, reading I: PPS DETECTED
14:35:35:525334 Gateway 0, reading I: PPS DETECTED
14:35:36:532089 Gateway 0, reading I: PPS DETECTED
14:35:37:537559 Gateway 0, reading I: PPS DETECTED
14:35:38:545470 Gateway 0, reading I: PPS DETECTED
14:35:39:552714 Gateway 0, reading I: PPS DETECTED
14:35:40:557034 Gateway 0, reading I: PPS DETECTED
14:35:41:462059 Gateway 0, reading I: PPS DETECTED
14:35:42:468104 Gateway 0, reading I: PPS DETECTED
14:35:43:473170 Gateway 0, reading I: PPS DETECTED
14:35:44:478895 Gateway 0, reading I: PPS DETECTED
14:35:45:484425 Gateway 0, reading I: PPS DETECTED
14:35:46:490538 Gateway 0, reading I: PPS DETECTED
14:35:47:495602 Gateway 0, reading I: PPS DETECTED
14:35:48:500793 Gateway 0, reading I: PPS DETECTED
14:35:49:506251 Gateway 0, reading I: PPS DETECTED
14:35:50:511456 Gateway 0, reading I: PPS DETECTED
14:35:51:521003 Gateway 0, reading I: PPS DETECTED
14:35:51:818197 Gateway 0, sending b'HYP\xe1\x15\x12\x976\x11\x04\xff\xff\xff'
14:35:51:924088 Gateway 0, reading I: Read SOH CMD
14:35:52:321973 Gateway 0, sending b'HYP\xcda\xd3R\x14\x02\x04\xff\xff\xff'
14:35:52:426973 Gateway 0, reading I: Read SOH CMD
14:35:52:528524 Gateway 0, reading I: PPS DETECTED
14:35:52:725599 Gateway 0, sending b'HYP\xe1\xd7)\x7f\xa1L\x04\xff\xff\xff'
14:35:52:830684 Gateway 0, reading I: Read SOH CMD
14:35:53:228843 Gateway 0, sending b'HYP\xdc\xe2\x06\xb60\xbc\x04\xff\xff\xff'
14:35:53:233843 Gateway 0, reading I: [CD:61:D3:52:14:02 (random)] Sensor SOH read: 1
14:35:53:234837 Gateway 0, reading I: Current: 0.11A  Volt: 3.60V  Mode: 1
14:35:53:235842 Gateway 0, reading I: GPS: 20:35:51.000  Lat:34.40391 Lon:-89.57591  Status:A
14:35:53:235842 Gateway 0, reading I: File Count: 0
14:35:53:336521 Gateway 0, reading I: Read SOH CMD
14:35:53:538183 Gateway 0, reading I: PPS DETECTED
14:35:53:539185 Gateway 0, reading I: [E1:15:12:97:36:11 (random)] Sensor SOH read: 1
14:35:53:539185 Gateway 0, reading I: Current: 0.11A  Volt: 3.62V  Mode: 1
14:35:53:541184 Gateway 0, reading I: GPS: 20:35:50.000  Lat:34.40388 Lon:-89.57591  Status:A
14:35:53:543091 Gateway 0, reading I: File Count: 0
14:35:54:248685 Gateway 0, reading I: [E1:D7:29:7F:A1:4C (random)] Sensor SOH read: 2
14:35:54:249678 Gateway 0, reading I: Current: 0.09A  Volt: 3.60V  Mode: 1
14:35:54:250689 Gateway 0, reading I: GPS: 20:35:52.000  Lat:34.40392 Lon:-89.57589  Status:A
14:35:54:250689 Gateway 0, reading I: File Count: 0
14:35:54:553482 Gateway 0, reading I: PPS DETECTED
14:35:55:358029 Gateway 0, reading I: [DC:E2:06:B6:30:BC (random)] Sensor SOH read: 3
14:35:55:359022 Gateway 0, reading I: Current: 0.12A  Volt: 3.58V  Mode: 1
14:35:55:360031 Gateway 0, reading I: GPS: 00:01:53.000  Lat:34.26583 Lon:-88.70054  Status:V
14:35:55:360031 Gateway 0, reading I: File Count: 0
14:35:55:461169 Gateway 0, reading I: PPS DETECTED
14:35:56:467528 Gateway 0, reading I: PPS DETECTED
14:35:57:474426 Gateway 0, reading I: PPS DETECTED
14:35:58:481494 Gateway 0, reading I: PPS DETECTED
14:35:59:488318 Gateway 0, reading I: PPS DETECTED
14:36:00:495722 Gateway 0, reading I: PPS DETECTED
14:36:01:502702 Gateway 0, reading I: PPS DETECTED
14:36:02:509727 Gateway 0, reading I: PPS DETECTED
14:36:03:514305 Gateway 0, reading I: PPS DETECTED
14:36:04:520763 Gateway 0, reading I: PPS DETECTED
14:36:05:528218 Gateway 0, reading I: PPS DETECTED
14:36:06:534939 Gateway 0, reading I: PPS DETECTED
14:36:07:541689 Gateway 0, reading I: PPS DETECTED
14:36:08:546630 Gateway 0, reading I: PPS DETECTED
14:36:09:553071 Gateway 0, reading I: PPS DETECTED
14:36:10:458843 Gateway 0, reading I: PPS DETECTED
14:36:11:464723 Gateway 0, reading I: PPS DETECTED
14:36:12:472590 Gateway 0, reading I: PPS DETECTED
14:36:13:479527 Gateway 0, reading I: PPS DETECTED
14:36:14:486385 Gateway 0, reading I: PPS DETECTED
14:36:15:492688 Gateway 0, reading I: PPS DETECTED
14:36:16:498451 Gateway 0, reading I: PPS DETECTED
14:36:17:504681 Gateway 0, reading I: PPS DETECTED
14:36:18:511354 Gateway 0, reading I: PPS DETECTED
14:36:19:516892 Gateway 0, reading I: PPS DETECTED
14:36:20:524071 Gateway 0, reading I: PPS DETECTED
14:36:21:529890 Gateway 0, reading I: PPS DETECTED
14:36:22:533806 Gateway 0, reading I: PPS DETECTED
14:36:23:540331 Gateway 0, reading I: PPS DETECTED
14:36:24:547577 Gateway 0, reading I: PPS DETECTED
14:36:25:553219 Gateway 0, reading I: PPS DETECTED
14:36:26:460218 Gateway 0, reading I: PPS DETECTED
14:36:27:465984 Gateway 0, reading I: PPS DETECTED
14:36:28:472808 Gateway 0, reading I: PPS DETECTED
14:36:29:479839 Gateway 0, reading I: PPS DETECTED
14:36:30:484853 Gateway 0, reading I: PPS DETECTED
14:36:31:490863 Gateway 0, reading I: PPS DETECTED
14:36:32:497111 Gateway 0, reading I: PPS DETECTED
14:36:33:502985 Gateway 0, reading I: PPS DETECTED
14:36:34:511803 Gateway 0, reading I: PPS DETECTED
14:36:35:517944 Gateway 0, reading I: PPS DETECTED
14:36:36:524634 Gateway 0, reading I: PPS DETECTED
14:36:37:530368 Gateway 0, reading I: PPS DETECTED
14:36:38:536388 Gateway 0, reading I: PPS DETECTED
14:36:39:542790 Gateway 0, reading I: PPS DETECTED
14:36:40:548826 Gateway 0, reading I: PPS DETECTED
14:36:41:555618 Gateway 0, reading I: PPS DETECTED
14:36:42:461065 Gateway 0, reading I: PPS DETECTED
14:36:43:467909 Gateway 0, reading I: PPS DETECTED
14:36:44:421232 Gateway 0, sending b'HYP\xe1\x15\x12\x976\x11\x04\xff\xff\xff'
14:36:44:476209 Gateway 0, reading I: Read SOH CMD
14:36:44:476209 Gateway 0, reading I: PPS DETECTED
14:36:44:924786 Gateway 0, sending b'HYP\xcda\xd3R\x14\x02\x04\xff\xff\xff'
14:36:44:979219 Gateway 0, reading I: Read SOH CMD
14:36:45:440345 Gateway 0, sending b'HYP\xe1\xd7)\x7f\xa1L\x04\xff\xff\xff'
14:36:45:482387 Gateway 0, reading I: Read SOH CMD
14:36:45:482387 Gateway 0, reading I: PPS DETECTED
14:36:45:944144 Gateway 0, sending b'HYP\xdc\xe2\x06\xb60\xbc\x04\xff\xff\xff'
14:36:45:986705 Gateway 0, reading I: [CD:61:D3:52:14:02 (random)] Sensor SOH read: 1
14:36:45:987695 Gateway 0, reading I: Current: 0.10A  Volt: 3.61V  Mode: 1
14:36:45:990775 Gateway 0, reading I: GPS: 20:36:43.000  Lat:34.40390 Lon:-89.57591  Status:A
14:36:45:992791 Gateway 0, reading I: File Count: 0
14:36:46:093702 Gateway 0, reading I: Read SOH CMD
14:36:46:396154 Gateway 0, reading I: [E1:15:12:97:36:11 (random)] Sensor SOH read: 1
14:36:46:397150 Gateway 0, reading I: Current: 0.12A  Volt: 3.62V  Mode: 1
14:36:46:398149 Gateway 0, reading I: GPS: 20:36:43.000  Lat:34.40389 Lon:-89.57590  Status:A
14:36:46:398149 Gateway 0, reading I: File Count: 0
14:36:46:499248 Gateway 0, reading I: PPS DETECTED
14:36:47:103164 Gateway 0, reading I: [E1:D7:29:7F:A1:4C (random)] Sensor SOH read: 2
14:36:47:104157 Gateway 0, reading I: Current: 0.13A  Volt: 3.62V  Mode: 1
14:36:47:105167 Gateway 0, reading I: GPS: 20:36:44.000  Lat:34.40391 Lon:-89.57589  Status:A
14:36:47:105167 Gateway 0, reading I: File Count: 0
14:36:47:508476 Gateway 0, reading I: PPS DETECTED
14:36:48:214468 Gateway 0, reading I: [DC:E2:06:B6:30:BC (random)] Sensor SOH read: 3
14:36:48:215461 Gateway 0, reading I: Current: 0.16A  Volt: 3.57V  Mode: 1
14:36:48:216469 Gateway 0, reading I: GPS: 00:02:46.000  Lat:34.26583 Lon:-88.70054  Status:V
14:36:48:216469 Gateway 0, reading I: File Count: 0
14:36:48:519196 Gateway 0, reading I: PPS DETECTED
14:36:49:525862 Gateway 0, reading I: PPS DETECTED
14:36:50:531643 Gateway 0, reading I: PPS DETECTED
14:36:51:538283 Gateway 0, reading I: PPS DETECTED
14:36:52:545390 Gateway 0, reading I: PPS DETECTED
